Date,Cranb ID,Temp1,Temp2,Temp_Ave,Length,Width,Weight,Microplastic Load,Adjusted Microplastic load,Notes,Body Index,Predicted Weight
2/12/2022,1A,32.1,32.2,32.15,30.84,16.47,3.73,,,,0.984555734,3.788510768
2/12/2022,2A,33.7,33.9,33.8,28.9,15.26,3.28,,,,1.019326815,3.217809982
2/12/2022,3A,35.5,35.5,35.5,15.3,8.77,0.65,,,one temp,0.99875663,0.650809197
2/12/2022,4A,34.7,34.3,34.5,16.19,9.97,0.7,,,,0.933118056,0.75017303
2/12/2022,5A,NA,NA,NA,16.14,9.32,0.71,,,,0.953833697,0.74436456
2/12/2022,6A,30.3,30.2,30.25,21.3,13.82,2.55,,,damaged,1.706075009,1.494658785
2/12/2022,7A,34.2,34.2,34.2,18.36,11.12,1.22,,,one temp,1.185560382,1.029049232
2/12/2022,8A,34.8,34.5,34.65,20.82,12.85,1.73,,,,1.225687974,1.41145221
2/12/2022,9A,35,34.4,34.7,15.98,9.64,0.71,,,,0.978015635,0.725959765
2/12/2022,10A,35,34.3,34.65,19.1,11.6,1.36,,,,1.196679747,1.136477829
2/12/2022,11A,NA,NA,NA,NA,NA,NA,,,,NA,NA
2/12/2022,12A,NA,NA,NA,22.05,11.95,1.58,,,,0.969052207,1.630459111
2/12/2022,13A,34.9,34.2,34.55,24.23,13.75,2.54,,,,1.229219585,2.066351717
2/12/2022,14A,34.3,34,34.15,29.27,12.73,1.73,,,,0.520716915,3.322342618
2/12/2022,15A,32,32,32,18.11,10.38,0.84,,,one temp,0.844901546,0.994198678
2/12/2022,16A,34.6,34.6,34.6,19.42,12.75,1.88,,,one temp,1.586585313,1.184934705
2/12/2022,17A,35.3,35.3,35.3,14.05,9.27,0.64,,,one temp,1.218274785,0.525333043
2/12/2022,18A,33.6,33.6,33.6,28.48,16.25,3.98,,,one temp,1.283216615,3.101580788
2/13/2022,1B,31.3,31.3,31.3,13.74,7.7,0.43,,,,0.865732418,0.496689267
2/13/2022,2B,29.4,29.2,29.3,28.66,16.27,3.89,,,,1.234498112,3.151078128
2/13/2022,3B,30.3,30.4,30.35,25.05,14.85,3.02,,,,1.344246769,2.246611314
2/13/2022,4B',33.5,33.3,33.4,16.53,9.59,0.82,,,,1.037456881,0.790394295
2/13/2022,5B,33.3,33.5,33.4,25.65,12.92,2,,,,0.83882105,2.384298772
2/13/2022,6B,33.3,33.3,33.3,24.03,12.32,1.79,,,,0.884493589,2.023756896
2/13/2022,7B,33.6,33.6,33.6,16.55,9.11,0.7,,,,0.882946837,0.792799714
2/13/2022,8B,33.4,33.6,33.5,26.11,14.95,2.78,,,,1.115026044,2.493215307
2/13/2022,9B,34.3,34.2,34.25,30.35,17.15,3.76,,,,1.033234568,3.639057495
2/13/2022,10B,34.3,34.3,34.3,13.52,8.88,0.54,,,,1.13220539,0.476945265
2/13/2022,11B,34.1,34.1,34.1,16.37,9.14,0.75,,,,0.972372832,0.771309085
2/13/2022,12B,34.5,34.8,34.65,24.26,13.45,1.96,,,,0.945586763,2.072787053
2/13/2022,13B,34.6,34.9,34.75,14.62,9.45,0.57,,,,0.981833831,0.580546302
2/17/2022,1C,28.1,28,28.05,18.07,10.33,0.77,,,,0.77880866,0.988689571
2/17/2022,2C,29.5,29.8,29.65,29.2,17.32,4.19,,,,1.268769709,3.302411754
2/17/2022,3C,29.9,30.2,30.05,17.16,10.62,0.81,,,,0.932865366,0.868292499
2/17/2022,4C,29.9,30.2,30.05,25.73,13.78,1.96,,,,0.815636726,2.403030585
2/17/2022,5C,30.2,30.4,30.3,27.46,14.43,2.14,,,,0.756197467,2.829948648
2/17/2022,6C,30.1,30.4,30.25,14.8,9.81,0.79,,,,1.319578664,0.598675942
2/17/2022,7C,30.2,30.6,30.4,29.27,16.4,3.53,,,,1.062503302,3.322342618
2/17/2022,8C,30.2,30.5,30.35,24.91,13.54,2.38,,,,1.07439917,2.215191585
2/17/2022,9C,30.3,30.5,30.4,16.9,11.8,1,,,,1.19673115,0.835609568
2/17/2022,10C,30.3,30.9,30.6,19.82,10.56,0.89,,,,0.713582873,1.247227243
2/17/2022,11C,30.4,31,30.7,26.7,14.33,2.1,,,,0.796292049,2.637223369
2/17/2022,12C,30.8,31,30.9,16.3,8.73,0.9,,,,1.179480985,0.763047486
2/17/2022,13C,31,31.5,31.25,19.41,12.97,1.45,,,,1.225281048,1.183401965
2/17/2022,14C,31.3,31.5,31.4,15.44,9.22,0.68,,,,1.021207844,0.66587816
2/17/2022,15C,31.3,31.6,31.45,16.9,9.23,0.65,,,,0.777875248,0.835609568
2/17/2022,16C,31.5,31.7,31.6,16.49,10.37,0.73,,,,0.929230031,0.785596651
2/17/2022,17C,31.5,32.1,31.8,14.59,9.02,0.61,,,,1.056172294,0.577557282
2/17/2022,18C,32.1,32.4,32.25,13.54,8.5,0.54,,,,1.128007379,0.478720273
2/17/2022,19C,32.4,32.1,32.25,16.03,8.2,0.53,,,,0.724358919,0.731681471
2/17/2022,20C,32,32.1,32.05,17.11,10.05,0.74,,,,0.858519828,0.861948642
2/17/2022,21C,32.4,32.5,32.45,16.79,9.07,0.67,,,,0.815076342,0.822008891
2/17/2022,22C,32.3,32.5,32.4,15.88,8.14,0.52,,,,0.727682492,0.714597376
